Date,AAPL,ADBE,AMZN,FB,GOOG,JPM,MSFT,NFLX,TSLA,WMT
2010-01-04,6.412383079528809,37.09000015258789,6.695000171661377,,15.483122825622559,28.279197692871094,23.07737922668457,0.7639999985694885,,12.933830261230469
2010-01-05,6.4234700202941895,37.70000076293945,6.734499931335449,,15.414942741394043,28.826976776123047,23.0848388671875,0.7358570098876953,,12.805032730102539
2010-01-06,6.321295738220215,37.619998931884766,6.612500190734863,,15.026350021362305,28.985366821289062,22.94316291809082,0.761713981628418,,12.776420593261719
2010-01-07,6.3096089363098145,36.88999938964844,6.5,,14.676542282104492,29.55951690673828,22.704561233520508,0.74857097864151,,12.783571243286133
2010-01-08,6.351558685302734,36.689998626708984,6.676000118255615,,14.872198104858398,29.486927032470703,22.861143112182617,0.7614290118217468,,12.71917724609375
2010-01-11,6.295528411865234,36.209999084472656,6.515500068664551,,14.84971809387207,29.3879337310791,22.57034683227539,0.7604290246963501,,12.92905330657959
2010-01-12,6.223915100097656,35.65999984741211,6.367499828338623,,14.587117195129395,28.70157814025879,22.42123031616211,0.7481430172920227,,13.053078651428223
2010-01-13,6.311705589294434,36.279998779296875,6.45550012588501,,14.503368377685547,29.203136444091797,22.630006790161133,0.7708569765090942,,13.119852066040039
2010-01-14,6.2751545906066895,35.900001525878906,6.367499828338623,,14.571550369262695,29.493518829345703,23.0848388671875,0.7284290194511414,,12.92905330657959
2010-01-15,6.170283317565918,35.869998931884766,6.35699987411499,,14.328219413757324,28.826976776123047,23.010272979736328,0.7278569936752319,,12.802652359008789
2010-01-19,6.443244457244873,36.95000076293945,6.380499839782715,,14.516462326049805,28.562984466552734,23.189226150512695,0.7314289808273315,,12.886123657226562
2010-01-20,6.3440680503845215,36.4900016784668,6.289000034332275,,14.338349342346191,28.64217185974121,22.808956146240234,0.7319999933242798,,12.845576286315918
2010-01-21,6.234401702880859,35.81999969482422,6.330999851226807,,14.401837348937988,26.75470542907715,22.37648582458496,0.7312859892845154,,12.621390342712402
2010-01-22,5.925184726715088,34.380001068115234,6.071499824523926,,13.58735179901123,25.843969345092773,21.593563079833984,0.7269999980926514,,12.62615966796875
2010-01-25,6.084588527679443,34.15999984741211,6.015500068664551,,13.340066909790039,25.876955032348633,21.86199188232422,0.7018569707870483,,12.61185073852539
2010-01-26,6.170581340789795,33.939998626708984,5.973999977111816,,13.399849891662598,25.368793487548828,21.9962158203125,0.7135710120201111,,12.785958290100098
2010-01-27,6.2287092208862305,33.13999938964844,6.137499809265137,,13.391944885253906,25.956148147583008,22.122966766357422,0.7281429767608643,,12.735871315002441
2010-01-28,5.971327781677246,32.88999938964844,6.301499843597412,,13.199007987976074,26.05513572692871,21.742694854736328,0.9005709886550903,,12.547453880310059
2010-01-29,5.754693031311035,32.29999923706055,6.270500183105469,,13.091544151306152,25.698760986328125,21.011978149414062,0.8892859816551208,,12.743024826049805
2010-02-01,5.834695816040039,32.47999954223633,5.94350004196167,,13.167633056640625,26.15414810180664,21.1834716796875,0.8718569874763489,,12.754952430725098
2010-02-02,5.868553161621094,32.97999954223633,5.906000137329102,,13.120697021484375,26.761306762695312,21.220748901367188,0.8835710287094116,,12.757335662841797
2010-02-03,5.969529628753662,32.97999954223633,5.954999923706055,,13.360323905944824,26.589710235595703,21.34750747680664,0.8849999904632568,,12.943363189697266
2010-02-04,5.754395484924316,32.2400016784668,5.796999931335449,,13.013482093811035,25.30939292907715,20.758453369140625,0.8619999885559082,,12.633316040039062
2010-02-05,5.856568336486816,32.77000045776367,5.869500160217285,,13.124897003173828,25.276397705078125,20.89267921447754,0.869143009185791,,12.747797966003418
2010-02-08,5.81641960144043,32.04999923706055,5.8414998054504395,,13.178752899169922,24.880422592163086,20.668987274169922,0.8700000047683716,,12.623778343200684
2010-02-09,5.878443717956543,32.310001373291016,5.901500225067139,,13.252120971679688,25.335784912109375,20.885208129882812,0.8875709772109985,,12.700098037719727
2010-02-10,5.8463826179504395,32.7599983215332,5.868000030517578,,13.202960968017578,25.652576446533203,20.87030601501465,0.8784289956092834,,12.697711944580078
2010-02-11,5.952749729156494,32.63999938964844,6.004499912261963,,13.25113296508789,25.751558303833008,20.967233657836914,0.9051430225372314,,12.659550666809082
2010-02-12,6.003988742828369,31.450000762939453,5.982999801635742,,13.170104026794434,25.70536231994629,20.825572967529297,0.9025710225105286,,12.616621017456055
2010-02-16,6.094474792480469,31.809999465942383,5.876500129699707,,13.372180938720703,26.44452476501465,21.237581253051758,0.9265710115432739,,12.774030685424805
2010-02-17,6.0690083503723145,32.33000183105469,5.815499782562256,,13.295846939086914,26.424724578857422,21.417377471923828,0.9215710163116455,,12.893284797668457
2010-02-18,6.080392360687256,33.2400016784668,5.9039998054504395,,13.419612884521484,26.668907165527344,21.702035903930664,0.9442859888076782,,12.752562522888184
2010-02-19,6.042638778686523,33.880001068115234,5.875999927520752,,13.358842849731445,26.418123245239258,21.55220603942871,0.9521430134773254,,12.757335662841797
2010-02-22,6.005186080932617,33.70000076293945,5.9004998207092285,,13.4092378616333,26.959278106689453,21.522247314453125,0.9324290156364441,,12.838420867919922
2010-02-23,5.904508590698242,33.439998626708984,5.861999988555908,,13.218276977539062,26.319133758544922,21.222604751586914,0.9192860126495361,,12.788339614868164
2010-02-24,6.012378692626953,34.54999923706055,5.986000061035156,,13.129342079162598,26.959278106689453,21.44733238220215,0.9241430163383484,,12.85988998413086
2010-02-25,6.052526473999023,34.560001373291016,5.909999847412109,,13.004836082458496,26.82069206237793,21.42487144470215,0.9372860193252563,,12.914743423461914
2010-02-26,6.131031513214111,34.650001525878906,5.920000076293945,,13.013976097106934,27.69844627380371,21.47730255126953,0.9435709714889526,,12.895663261413574
2010-03-01,6.261969089508057,34.88999938964844,6.2270002365112305,,13.159482955932617,27.60604476928711,21.739482879638672,0.995714008808136,,12.855114936828613
2010-03-02,6.257773399353027,34.7400016784668,6.276500225067139,,13.366252899169922,27.467453002929688,21.31998062133789,0.9854289889335632,,12.781185150146484
2010-03-03,6.272155284881592,34.81999969482422,6.29449987411499,,13.471490859985352,27.408058166503906,21.31998062133789,0.9649999737739563,,12.797879219055176
2010-03-04,6.313503742218018,34.939998626708984,6.426499843597412,,13.700495719909668,27.665441513061523,21.44733238220215,0.9715710282325745,,12.869433403015137
2010-03-05,6.560400485992432,35.15999984741211,6.445499897003174,,13.938146591186523,28.252811431884766,21.417377471923828,0.9664289951324463,,12.912359237670898
2010-03-08,6.564296722412109,35.060001373291016,6.505499839782715,,13.895408630371094,28.107608795166016,21.44733238220215,0.9811429977416992,,12.914743423461914
2010-03-09,6.6823506355285645,35.119998931884766,6.440999984741211,,13.838836669921875,27.995424270629883,21.57468605041504,0.9991430044174194,,12.893284797668457
2010-03-10,6.736882209777832,35.150001525878906,6.5254998207092285,,14.240521430969238,28.331993103027344,21.702035903930664,1.0182859897613525,,12.862823486328125
2010-03-11,6.75665807723999,35.220001220703125,6.678999900817871,,14.356380462646484,28.496990203857422,21.859352111816406,1.0169999599456787,,12.944371223449707
2010-03-12,6.789618492126465,35.15999984741211,6.591000080108643,,14.316854476928711,28.47718620300293,21.92677879333496,0.9997140169143677,,12.927572250366211
2010-03-15,6.706921100616455,35.4900016784668,6.55649995803833,,13.912701606750488,28.42438316345215,21.941762924194336,0.9942860007286072,,13.292140007019043
2010-03-16,6.7251973152160645,35.02000045776367,6.5894999504089355,,13.962603569030762,28.536592483520508,22.001686096191406,1.0089999437332153,,13.428852081298828
2010-03-17,6.715310096740723,35.4900016784668,6.566999912261963,,13.97149658203125,28.89957046508789,22.19645118713379,1.0131429433822632,,13.41205883026123
2010-03-18,6.731191158294678,35.75,6.638000011444092,,13.992247581481934,28.800567626953125,22.181480407714844,1.007714033126831,,13.416857719421387
